pcode,label,url,fullurl,ref,time,orderid,revenue,datacenter
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=251411772;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-223028856-1391825389057;ns=0;ce=1;cm=;je=1;sr=1097x617x24;enc=n;dst=1;et=1392012624968;tzo=300;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview%26token%3DEC-9H028248036262923%26PayerID%3DB3T97N6BTQJ92;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review&token=EC-9H028248036262923&PayerID=B3T97N6BTQJ92,2/10/14,,,wdc011
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=369867767;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-1184853411-1392043820921;ns=0;ce=1;cm=;je=1;sr=1680x1050x24;enc=n;dst=1;et=1392044273767;tzo=300;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview%26amazonOrderReferenceId%3DP01-7296702-3225321;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review&amazonOrderReferenceId=P01-7296702-3225321,2/10/14,,,wdc011
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=2041428246;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-1899203332-1389985530452;ns=0;ce=1;cm=;je=1;sr=1600x900x24;enc=n;dst=1;et=1392043362420;tzo=300;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review,2/10/14,,,wdc011
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=146329356;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-59853920-1392050683198;ns=0;ce=1;cm=;je=0;sr=1920x1080x24;enc=n;dst=1;et=1392051238407;tzo=300;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview%26token%3DEC-1YD485926W242283N%26PayerID%3DKVMLBGM6T4TFL;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review&token=EC-1YD485926W242283N&PayerID=KVMLBGM6T4TFL,2/10/14,,,wdc011
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=1134911983;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-1024587593-1392050779096;ns=0;ce=1;cm=;je=0;sr=1366x768x24;enc=n;dst=1;et=1392052722823;tzo=300;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review,2/10/14,,,wdc011
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=1637513040;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-1148778800-1386999088601;ns=0;ce=1;cm=;je=1;sr=1280x800x24;enc=n;dst=1;et=1392008434335;tzo=480;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review,2/10/14,,,acs001
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.true",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=958153146;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.true;event=refresh;fpan=0;fpa=P0-788430084-1384996135889;ns=0;ce=1;cm=;je=1;sr=1366x768x24;enc=n;dst=1;et=1392045484913;tzo=420;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review,2/10/14,,,chg004
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=868350893;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-169333471-1391461633161;ns=0;ce=1;cm=;je=1;sr=1121x631x24;enc=n;dst=1;et=1392046874646;tzo=360;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review,2/10/14,,,acs001
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=350460184;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-1206179460-1386529302781;ns=0;ce=1;cm=;je=1;sr=1467x1100x24;enc=n;dst=1;et=1392052267807;tzo=480;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review,2/10/14,,,sef003
p-rPGhNKRR1JyXQ,"_fp.event.purchase order confirmation,_fp.customer.false",https://www.build.com/index.cfm?page=checkout:ordercomplete,https://pixel.quantserve.com/pixel;r=827935515;a=p-rPGhNKRR1JyXQ;labels=_fp.event.purchase%20order%20confirmation%2C_fp.customer.false;event=refresh;fpan=0;fpa=P0-1204217803-1391971572831;ns=0;ce=1;cm=;je=1;sr=1280x1024x24;enc=n;dst=1;et=1392044912279;tzo=300;ref=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Areview%26token%3DEC-5CK620985S237043G%26PayerID%3D465FE8ASSFB8S;url=https%3A%2F%2Fwww.build.com%2Findex.cfm%3Fpage%3Dcheckout%3Aordercomplete;ogl=,https://www.build.com/index.cfm?page=checkout:review&token=EC-5CK620985S237043G&PayerID=465FE8ASSFB8S,2/10/14,,,acs001
